Ref_Area,Year,Total_GHG,Energy_Per_Capita,Elec_Per_Capita,Renewable_%,Fossil_Elec_%,Renew_Elec_%,GDP_Total,GDP_Per_Capita,GDP_Per_Capita_PPP,Population,Urban_%,Industry_VA_%,Agri_VA_%,Forest_%,Agri_Land_%,Covid
LTU,2017,24.9035,2653.3998432927287,4203.840164016606,33.8,17.578218294721758,74.44112729878194,47756764508.44596,16800.151024609866,38774.489201182216,2842639.0,67.1012954711914,25.720457681502047,3.5493363371263245,35.056911607413674,46.859085902204626,0
LTU,2018,24.4549,2711.161867897499,4330.661180476731,33.7,13.130162346909714,77.84676730276274,54261795148.53722,19247.231536796684,41019.79016328776,2819200.0,67.1464742010457,25.578878720136643,2.8868572664767465,35.09500239501836,47.05412741497685,0
LTU,2019,24.6564,2707.607646865041,4421.418176372217,33.5,14.857718458826492,77.34575673633846,55122066225.79599,19608.794394555272,43062.32284253145,2811089.0,67.245735168457,25.2564149405008,3.1240474440371564,35.13254551261578,47.50878313637815,0
LTU,2020,24.4498,2674.068403564318,4438.918875065872,31.7,33.007069059271345,60.80659778865325,57412038533.27175,20428.647815739412,43091.797372352565,2810369.0,67.4254608154297,24.787690073852563,3.5324199391432622,35.148514851485146,46.99457042478441,1
LTU,2021,24.2878,2774.319794581342,4698.794322705617,33.2,25.9157148483655,65.61441512406459,67037321008.96792,23870.459485172207,45873.52732394857,2808380.0,68.1912117004395,24.858750921979738,3.39582123831296,35.180749081616355,46.92221689825906,1
LTU,2022,22.2997,2453.939932602592,4416.1702815930985,33.2,18.6075684716705,65.61441512406459,71033884499.78238,25085.78406349905,46651.21458102469,2831639.0,68.2866452426813,25.639869588622204,3.9279382912553977,35.20364353715417,46.503418311928954,0
LTU,2023,21.5756,2437.0460115879387,4202.905364110761,33.2,13.348946135831383,65.61441512406459,79789877416.16808,27786.005782927572,46159.70817330831,2871585.0,68.575454583199,24.237094292420124,2.715390999681744,35.23015015974441,45.89456869009585,0
LTU,2024,21.5357,2602.9960317993905,4387.043075493426,33.2,13.348946135831383,65.61441512406456,84869215513.36482,29384.018959866335,47165.366564305084,2888278.0,68.8285833315315,23.394637462384953,2.573252946593487,35.23015015974441,45.89456869009585,0
LUX,2000,9.782,7682.155552082764,15663.534265413706,6.8,18.353344768439108,78.70668953687822,21230182989.303577,48659.59887532334,114141.5852956224,436300.0,84.4182155177842,16.654678949085024,0.5968669574781236,33.67696526650249,49.71916440729318,0
LUX,2001,10.3259,7986.4138947060765,15620.859520978427,3.4,41.08574953732264,56.800740283775454,21387533703.232704,48440.142015135505,116258.42681292584,441525.0,84.8173254067976,16.31385305015446,0.5602873614697288,33.75465146088889,49.71916440729318,0
LUX,2002,11.009,8205.474696443436,15984.759343306998,1.3,70.93023255813954,28.136019469983776,23649833332.16553,53005.73392091787,118757.53052623638,446175.0,85.203425653095,16.108051890892895,0.6906615120474138,33.83233765527528,49.71916440729318,0
LUX,2003,11.4197,8553.034379862342,16261.09868697828,1.3,72.30046948356808,26.86219276442971,29667268248.130527,65689.32145369114,120396.25784317868,451630.0,85.5906295073034,16.231362397490827,0.4642378756140503,33.91002384966168,49.71916440729318,0
LUX,2004,12.8473,9381.203820713214,16300.112422095854,1.4,76.25847047434657,22.88092933204259,35064843792.89932,76544.91708684732,123720.26149948842,458095.0,85.9799097226846,15.43934602054312,0.5354320049598809,33.98771004404807,49.71916440729318,0
LUX,2005,13.0766,9429.924652621345,15635.547491390022,1.9,75.19980624848631,24.062484863162993,37672280120.47936,80988.13762308584,124866.85881041232,465158.0,86.3735649102561,14.466127357940062,0.3565009408874598,34.06539623843447,50.10759537922516,0
LUX,2006,12.8815,9172.055983321492,16452.372539602275,2.1,74.9134548811447,24.268405261943222,42910146296.06464,90788.80048761448,130284.96750238047,472637.0,86.7738936810355,13.520579124328878,0.3117567219004393,34.14308243282086,50.10759537922516,0
LUX,2007,12.2979,8779.506079748997,16348.155077261545,3.6,72.33191702074481,26.64783804048988,51587401415.787224,107475.32029797773,138677.96549187592,479993.0,87.1831946460401,14.475968443997106,0.363222868939437,34.220768627207256,50.88445732308912,0
LUX,2008,12.1822,8625.433335571146,15933.694873631432,4.0,67.50070283947146,31.355355636772565,58844277701.52576,120422.1379341569,135812.22230327022,488650.0,87.6037664162874,12.8051473899025,0.3077789485257761,34.29845482159365,50.88445732308912,0
LUX,2009,11.5846,7958.762929550306,14423.955820106352,3.7,73.28519855595668,25.649561629706035,54467289897.55817,109419.7469531064,129002.24018751668,497783.0,88.0379076027949,11.00660491914328,0.2333348689421863,34.376141015980046,50.76792803150953,0
LUX,2010,12.2047,8335.83500727028,16808.26427696453,3.7,63.51557394903071,35.46852537573513,56213985987.41678,110885.99137872108,131432.0596163156,506953.0,88.48791681658,10.997972653402028,0.2684120580486414,34.45382721036644,50.89999456196639,0
LUX,2011,12.0611,8062.979119290051,15497.340584589088,3.8,62.970936490850384,35.34122712594187,61696281326.245255,119025.05720346652,129885.36976070623,518347.0,88.9562814837254,10.70843827962371,0.2511152895849797,34.45382721036644,50.98933368551075,0
LUX,2012,11.8226,7723.784323311956,14639.90688318586,4.2,62.5524109014675,35.879979035639415,59776383527.36017,112584.6762709582,128895.40514504757,530946.0,89.4405768017292,10.426718790373725,0.2879514995388194,34.45382721036644,51.04759833130055,0
LUX,2013,11.2916,7320.721679206622,14134.27561837456,5.7,49.15195569401177,48.77570093457944,65203276466.976265,120000.14072985917,129945.4537836208,543360.0,89.9413746679705,10.442941976644263,0.2619071969564649,34.45382721036644,50.83784560645728,0
LUX,2014,10.798,6878.681451804594,13851.764904668004,6.8,48.95411605937922,49.19770580296896,68804811897.64447,123678.70214327476,130247.66168706918,556319.0,90.4577807676859,10.81088063363202,0.2895504385850587,34.45382721036644,50.88057301336979,0
LUX,2015,10.2964,6548.759621016777,14410.011165651926,9.1,30.260303687635577,67.3232104121475,60071584216.13747,105462.01258442264,130097.2561798004,569604.0,90.9893679353068,11.539623433830966,0.2237326287407348,34.45382721036644,50.98933368551075,0
LUX,2016,10.0361,6342.683379619133,14327.834038356466,13.5,11.697769685935366,85.11379153390988,62216885435.94879,106899.29354955172,133661.64972913163,582014.0,91.5357090052649,12.095932562563794,0.2141970081590422,34.45382721036644,50.748894913884854,0
LUX,2017,10.1941,6313.353712269525,13847.897829411608,15.3,9.843400447427292,86.65324384787472,65712180342.98364,110193.2137972278,132169.8340453677,596336.0,92.0963768119916,10.818336859164877,0.2345725501155396,34.45382721036644,50.94582941665436,0
LUX,2018,10.5294,6414.364782708331,13497.820544452668,16.0,8.867667121418826,87.64165529786267,71085623495.11446,116926.75959390483,131733.88464929975,607950.0,92.6709441899184,10.972078433298368,0.2337383940485266,34.45382721036644,51.10159023639908,0
LUX,2019,10.6599,6376.866966431232,12309.657565068444,16.4,10.0104821802935,85.90670859538784,69872035113.64694,112696.649059674,132724.7527438881,620001.0,93.2589839734767,11.600463862630525,0.2148280630482754,34.45382721036644,51.1106795211423,0
LUX,2020,8.9246,5435.815706479437,11980.920625806011,20.8,11.43509400179051,88.57475380483439,73670782100.39087,116860.02817235976,129865.629988164,630419.0,93.8600689970981,11.342775335914418,0.20041631187567,34.45382721036644,51.321869440581715,1
LUX,2021,9.3179,5631.087256708641,12151.909809019098,20.5,10.998190045248869,89.0447963800905,86386759695.16528,134965.81544215154,136772.44375329223,640064.0,94.5861743396533,10.592003102321389,0.1948616870989216,34.45382721036644,51.584332248316144,1
LUX,2022,8.1924,4862.947408333524,11676.565564696532,20.5,4.340124003542958,89.0447963800905,80801680397.01393,123719.6589159963,132570.82646341893,653103.0,94.7605400940185,9.113800456255111,0.2421674782987545,34.45382721036644,51.47114346309517,0
