Ref_Area,ln_Population,ln_GDP_Per_Capita_PPP,ln_Energy_Per_Capita,Renewable_%,Urban_%,Forest_%,Agri_VA_%
BRA,19.068032690333414,9.720645909228947,7.163666705452731,44.94210526315789,84.00971463610871,62.219346397013794,4.685901928190937
BRN,12.85517512763775,11.420843921048435,8.952662160929655,0.0,74.10833724713632,73.04004793768101,0.9403691048864324
BWA,14.499000502988872,9.624144912529461,7.050719665165894,30.384210526315787,61.266343607656644,29.213205582905438,2.1591319453375966
CAN,17.3313058985814,10.878600556587472,8.988196884826444,21.442105263157895,80.4723818007897,38.74633723873281,1.8304054107793462
CHE,15.866290401101283,11.197792458890985,8.09403736463745,20.589473684210525,74.4226151321972,31.12958820859132,0.7598297089246953
CHL,16.650211523917175,10.054731052977072,7.518598487859872,29.484210526315792,87.02171753023114,22.575352572912635,3.8571654229683916
CHN,21.01018376715623,9.10596357622319,7.387873094668602,16.589473684210525,48.75473989183187,21.0341141842133,10.143209171627726
CIV,16.905903597469564,8.411542909582755,6.024115529715453,70.59473684210526,46.85847079721159,12.825369910625621,16.95659959917191
CMR,16.768153068827466,8.372894680673426,5.971362021839941,81.25263157894737,50.24791025735494,44.416536120398725,16.969365938523232
COD,18.01841851978871,7.051114461513792,5.728388474563943,96.71052631578948,38.909379602323455,60.44433979238031,19.51022064977924
COG,15.256501216562095,8.988732863024225,5.943481368780056,63.46315789473684,61.86667558383915,64.67596516914541,5.359327828959141
COL,17.599622680428514,9.52944866490736,6.6026985597589745,30.210526315789473,76.35418119720366,55.06261212969331,6.865436562824931
CRI,15.312856122971608,9.799999311934592,6.840807423646754,37.23684210526316,69.12584590230512,56.75995217185148,6.761935364818789
CYP,13.91540289294076,10.596166269566462,7.621128533057797,6.552631578947368,67.80193833101767,18.660600364547733,2.448458858106811
CZE,16.15667466861448,10.537001930008355,8.342503984086035,10.505263157894737,73.40670122069575,34.38087915743069,2.266046416877038
DEU,18.221497921346156,10.917912994689612,8.286547848632278,10.331578947368422,80.39333738918558,32.668269312739596,0.843553335980413
DNK,15.52607789000733,11.023202821499794,8.100214716085713,21.626315789473683,86.67245975712225,14.859651315789472,1.3301493540724982
DOM,16.085338413218427,9.569860940739954,6.680992450822877,17.521052631578947,70.42973948224223,42.56220788983429,5.939636066265953
DZA,17.39328909378704,9.546306926785453,7.026486708153464,0.2947368421052632,66.22904312184264,0.7682684161332434,8.406925506524587
ECU,16.508179945422754,9.366035992599947,6.7172531529654345,14.989473684210527,62.332176494372646,52.92797276449297,8.296110868932882
EGY,18.291150514361135,9.39789181054511,6.6632740161058805,6.094736842105263,42.790074096580796,0.0580618128273116,13.062776121256823
ESP,17.618558731032717,10.667164187027115,7.955520681945214,12.210526315789474,78.06609025145963,36.299990160337586,2.7922992535114743
EST,14.109424168771888,10.346874636418061,8.296255304316183,22.847368421052632,67.92887815585698,54.77299873653129,3.146824232508171
FIN,15.491135693453316,10.87690348860588,8.777051672746897,35.4,69.62953081392857,73.49799863954298,2.3160465942837285
FRA,17.981020072811933,10.8034004696843,8.298572939216086,11.131578947368421,77.45148484401255,30.150526608756792,1.565491774722128
GAB,14.330469576923457,9.895067012001336,7.655345189334497,82.98421052631579,85.1902962548212,91.75123934530704,4.8072433299775446
GBR,17.94792933443949,10.770821168367439,8.077592095991728,3.8210526315789473,80.98956126869045,12.650570956801337,0.6699523850608161
GEO,15.159351169282528,9.265361642611188,6.798737604701701,38.252631578947366,54.93093294940665,40.358476418416885,11.816516935480134
GHA,17.02388234972974,8.403214888920226,5.715341585986293,54.53684210526316,49.89354023709961,36.02332267779407,27.681771187332355
GNQ,14.063698851198533,10.338248938569135,7.296249015959587,5.869230769230769,58.598338511420174,89.6717400246812,1.4840675860805799
GRC,16.2081018812795,10.459105786641679,7.803948462247101,11.468421052631578,75.63688641364574,29.592746029153563,3.870296707545844
GTM,16.46560865770623,9.191070898443181,6.581214936709824,64.93157894736842,50.05096801380363,35.61585234081845,12.051142743823615
HND,15.910243605764352,8.583377263591554,6.329164987158444,50.51578947368421,50.683240799943384,58.91797865384706,12.388049969604486
HRV,15.262535045225075,10.242325621657985,7.659843655945831,28.22631578947368,55.544182405837915,34.16539175696136,3.7537916872650583
HTI,16.078505960372002,8.103724780757176,5.9437041632016046,79.2421052631579,45.102343384188586,13.539578718203346,18.092770820861677
HUN,16.116173464064058,10.249378529621502,7.861650114365251,10.910526315789474,67.9590539355935,22.305761799119946,3.8704962934038485
IDN,19.307399369718617,9.04883988446921,6.500642560714111,35.794736842105266,48.93278323843177,52.48061180178399,14.08151901258556
IND,20.921370102592924,8.469442062997942,6.2211328429972035,39.08421052631579,30.522810416231238,23.358510378981567,17.632560453242522
IRL,15.295858425059015,11.082738116017412,8.064724463884673,5.489473684210526,61.373162040886726,10.268261377787624,1.2089777172640552
IRN,18.145386838457775,9.57956300741231,7.828753637502714,0.9052631578947368,69.94697775652304,6.326402423771927,7.692133389358041
IRQ,17.253946189995826,9.387186905648162,6.964115753352819,1.068421052631579,68.90369464753367,1.8888782672650133,5.24749634297926
ISL,12.653191143139521,10.961277202936099,9.595879584875211,71.47368421052632,93.00735771697913,0.4154677291487609,5.531349504317543
ISR,15.827492759651483,10.518821152801857,7.936602412461118,5.947368421052632,91.6328493171129,7.081184940169277,1.6634557894811186
ITA,17.89326497539979,10.81528638053165,7.953597095580285,11.215789473684211,68.32867345854952,30.229104292460708,2.0381899603735865
JAM,14.819582291670974,9.220425794596345,7.008217533837744,8.726315789473684,53.731100130315596,51.2316907226515,5.569510943608407
