Ref_Area,Year,Total_GHG,Energy_Per_Capita,Elec_Per_Capita,Renewable_%,Fossil_Elec_%,Renew_Elec_%,GDP_Total,GDP_Per_Capita,GDP_Per_Capita_PPP,Population,Urban_%,Industry_VA_%,Agri_VA_%,Forest_%,Agri_Land_%,Covid,Country,Event_Count,Total_Deaths,Total_Affected,Econ_Loss_Adj_M,Econ_Loss_Raw_M,Insured_Loss_M,Flood_Count,Storm_Count,Earthquake_Count,Other_Count
THA,2007,355.1025,1569.8723731987866,2055.604752343113,21.6,92.75196847652796,7.6331567331992,262942621455.05292,3918.5281743458054,15742.65528917806,67102394.0,40.7036878697821,39.43137187715568,9.3476847010693,38.65900683121611,44.128873142946624,0,Thailand,5.0,53.0,183000.0,2.269,1.5,0.0,5.0,0.0,0.0,0.0
THA,2008,356.9906,1596.8283545025622,2070.3246370184606,22.6,93.30749809968508,7.4128977087631664,291382982430.9515,4309.135092929862,15891.78234098854,67619830.0,41.8954507430475,39.47961296513037,10.072433825363303,38.8694239464464,44.31090841472724,0,Thailand,6.0,39.0,11573157.0,40.567,27.844,0.0,3.0,2.0,0.0,1.0
THA,2009,354.2997,1578.7610726973207,2061.667254835067,22.8,93.0875016853175,7.29017796952946,281710630187.3191,4135.439869528185,15665.903115344903,68121080.0,42.9991311200422,38.60859888843874,9.787033759420426,39.07984106167668,44.49294368650786,0,Thailand,1.0,15.0,200000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
THA,2010,373.9503,1718.6211836804257,2260.341935973908,22.8,94.08761962097552,6.1068154168391215,341104766329.1696,4973.862888237778,16730.36978844884,68579447.0,44.0018736622496,39.92172569853569,10.522175636984883,39.29025817690697,44.67497895828848,0,Thailand,2.0,258.0,15453255.0,477.606,332.0,0.0,1.0,0.0,0.0,1.0
THA,2011,373.9837,1704.823340805253,2229.969947487225,23.0,91.91739465570402,12.915673175745118,370818739623.62195,5373.623283289797,16766.347705788314,69007208.0,44.8048723557374,37.98139827110971,11.591791777520749,39.28556049247392,44.68280843234355,0,Thailand,4.0,896.0,11216126.0,56224.069,40317.0,10000.0,2.0,1.0,1.0,0.0
THA,2012,392.5641,1818.1920430868397,2366.7948622343383,23.6,91.66324112583422,12.86154366960054,397558325278.5791,5725.5280283546335,17869.63766074586,69436098.0,45.373565813715,37.34369413746095,11.504100153576715,39.280862808040865,44.69063790639864,0,Thailand,2.0,0.0,12235545.0,1.64,1.2,0.0,1.0,0.0,0.0,1.0
THA,2013,403.8667,1943.923039782282,2420.570177607556,23.2,91.8543853909526,12.167766112482528,420333654592.54706,6018.082447292549,18242.425671536326,69845114.0,45.8321343847773,36.89858846481011,11.322215337977282,39.27616512360782,44.698986866057275,0,Thailand,3.0,84.0,3515254.0,779.654,579.0,0.0,3.0,0.0,0.0,0.0
THA,2014,395.7063,1926.2258261764812,2418.6241364495545,24.4,91.67107381682708,12.580086732715156,407339040197.6513,5801.1978916205,18324.614467487463,70216367.0,46.3138799467897,36.76304036551239,10.088921615104232,39.27146743917477,44.710211591536336,0,Thailand,8.0,93.0,1150811.0,95.405,72.0,15.0,4.0,1.0,1.0,2.0
THA,2015,401.3825,1932.6739096881456,2487.567655000202,22.6,91.99131974187654,13.138364456627263,401296238228.0839,5688.853353978842,18811.99751000637,70540795.0,46.9521043776171,36.17917732626671,8.872723647867934,39.26676975474172,44.71804106559142,0,Thailand,2.0,3.0,1440.0,4368.249,3300.561,0.0,0.0,1.0,0.0,1.0
THA,2016,401.0899,1985.0053092834771,2713.878514065534,22.4,86.36786092263392,20.92336454623108,413366349747.5081,5833.577156170984,19370.608781011655,70859841.0,47.8801095551247,35.58676540507598,8.47807696285562,39.18064554013584,44.710211591536336,0,Thailand,4.0,35.0,808843.0,189.515,145.0,0.0,3.0,0.0,0.0,1.0
THA,2017,406.6368,1988.1378152909856,2690.338629942049,22.2,85.62240341249917,20.262796871875764,456356813536.7637,6413.091825303433,20094.67787626029,71160187.0,49.2311973571777,35.018759526321965,8.406412586650468,39.11018027364012,44.71999843410519,0,Thailand,6.0,150.0,3819058.0,1674.41,1308.4,31.0,4.0,2.0,0.0,0.0
THA,2018,402.1173,1951.8556356188044,2700.176343393702,23.7,83.17023592660061,23.961467543430935,506754208404.4847,7099.776500814575,20879.90278214487,71376079.0,54.5843734741211,34.74248966750406,8.20181926195524,39.039715007144395,44.71744700424749,0,Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA,2019,410.4601,1989.8123422686344,2774.0170610633995,23.9,82.12723184763921,25.24544372437508,543976691793.88586,7605.696577977591,21277.839268476393,71522271.0,55.9266166687012,33.59391051332646,8.128568040094796,38.96924974064867,45.01947581671201,0,Thailand,3.0,26.0,878885.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
THA,2020,403.9095,1884.3507372740212,2673.060206290534,20.9,83.34872875150668,18.80025571414088,500461898480.24554,6985.643938925742,19957.25714091695,71641484.0,57.2358779907227,33.290722967857505,8.702852146735541,38.89878447415295,45.551683728395545,1,Thailand,7.0,44.0,1196084.0,72.722,60.0,0.0,3.0,4.0,0.0,0.0
THA,2021,398.6981,1848.063360933068,2722.002820347479,19.0,82.54763898332705,19.930740139250258,506194668789.9366,7057.2075480227895,20242.77000356559,71727332.0,58.5087776184082,35.03171196679927,8.692912930507973,38.82831920765722,45.998160073597056,1,Thailand,6.0,16.0,958594.0,684.173,591.0,0.0,5.0,1.0,0.0,0.0
THA,2022,417.7712,1867.4696831205304,2828.5504900939395,19.0,81.38514195876346,19.930740139250258,495644697587.6605,6909.352818158268,20762.795259852686,71735329.0,59.742374420166,35.12175770314611,8.719451384414441,38.7578539411615,45.998160073597056,0,Thailand,11.0,21.0,1381745.0,13.934,13.0,0.0,9.0,2.0,0.0,0.0
THA,2023,410.6628,1851.272314241671,2965.2131060821016,19.0,80.43578028433312,19.930740139250258,515906283940.9326,7195.101309194487,21191.454030927387,71702435.0,60.9341926574707,32.98040932864924,8.5627759867239,38.687388674665776,43.79807786411948,0,Thailand,3.0,6.0,271323.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
THA,2024,422.3873,1851.272314241671,2965.2131060821016,18.999999999999996,80.43578028433312,19.930740139250258,526517658841.6837,7346.620221421852,21740.540321926088,71668011.0,61.8689338391321,32.1359776535892,8.711126618988196,38.687388674665776,43.79807786411948,0,Thailand,7.0,165.0,781568.0,1114.0,1114.0,0.0,2.0,4.0,0.0,1.0
